gender,year,ending,counts,prop
M,1910,n,27851,0.14341548316666494
M,1910,o,3314,0.017065057312639676
M,1910,p,616,0.0031720203091689923
M,1910,r,12522,0.06448058167437358
M,1910,s,25404,0.13081494145150827
M,1910,t,14153,0.07287922635660511
M,1910,u,24,0.00012358520685073996
M,1910,v,22,0.0001132864396131783
M,1910,w,1229,0.006328592467481643
M,1910,x,770,0.00396502538646124
M,1910,y,15021,0.07734889133770688
M,1910,z,33,0.00016992965941976747
M,1960,a,5204,0.0024402275545018543
M,1960,b,3912,0.0018343908903173047
M,1960,c,15476,0.007256910383065083
M,1960,d,262112,0.12290794096187356
M,1960,e,178823,0.08385257724417468
M,1960,f,9224,0.004325261138110128
M,1960,g,20235,0.009488471284655076
M,1960,h,80841,0.03790746266977025
M,1960,i,1286,0.0006030231812239401
M,1960,k,105315,0.04938365966609584
M,1960,l,223716,0.10490352566928071
M,1960,m,72139,0.03382697454923314
M,1960,n,325266,0.15252172477759418
M,1960,o,27358,0.012828544472725158
M,1960,p,12102,0.005674795131549085
M,1960,r,66183,0.031034123797001576
M,1960,s,219080,0.1027296411683832
M,1960,t,140015,0.06565496945495333
M,1960,u,122,5.720748686572371e-05
M,1960,v,78,3.6575278487921717e-05
M,1960,w,16444,0.007710818967376728
M,1960,x,3947,0.0018508028742541924
M,1960,y,343318,0.1609865571784142
M,1960,z,392,0.00018381422009314504
M,2010,a,28438,0.014980125180285107
M,2010,b,38859,0.0204695366896652
M,2010,c,23125,0.012181426077575537
M,2010,d,44398,0.023387284540203182
M,2010,e,129012,0.06795892502141297
M,2010,f,2255,0.001187853656429528
M,2010,g,2666,0.001404353812878546
M,2010,h,98090,0.05167031714375716
M,2010,i,42956,0.02262769031733339
M,2010,j,1459,0.0007685492171754684
M,2010,k,35198,0.01854105232771908
M,2010,l,133583,0.07036676496089828
M,2010,m,46808,0.02465678667412565
M,2010,n,688677,0.3627705066735778
M,2010,o,81025,0.04268108315397007
M,2010,p,2409,0.0012689753695515444
M,2010,q,342,0.00018015341485538738
M,2010,r,166064,0.08747659849282179
M,2010,s,123670,0.06514494975194665
M,2010,t,43398,0.022860520169280998
M,2010,u,2318,0.0012210398117976256
M,2010,v,2723,0.0014343793820211107
M,2010,w,30656,0.016148488554990514
M,2010,x,16352,0.008613650993319575
M,2010,y,110425,0.05816795565908232
M,2010,z,3476,0.0018310329533255162
