gender,year,ending,counts,prop
F,1890,s,3880,0.020380613204326152
F,1890,t,4058,0.021315600098751424
F,1890,u,496,0.002605356739522106
F,1890,w,5,2.626367680969865e-05
F,1890,x,5,2.626367680969865e-05
F,1890,y,18647,0.09794775629409015
F,1890,z,307,0.0016125897561154972
F,1891,a,60582,0.32661225105937913
F,1891,d,1512,0.008151558608196845
F,1891,e,67750,0.36525667705379383
F,1891,g,54,0.0002911270931498873
F,1891,h,9599,0.05175053642862534
F,1891,i,166,0.0008949462493126165
F,1891,k,29,0.00015634603150642098
F,1891,l,9212,0.04966412559438448
F,1891,m,155,0.0008356425821894913
F,1891,n,8116,0.04375532385193492
F,1891,o,191,0.001029727310956083
F,1891,r,1424,0.007677129271211843
F,1891,s,4001,0.021570361105420356
F,1891,t,3988,0.02150027495336575
F,1891,u,430,0.002318234260267621
F,1891,y,18009,0.09709088556548742
F,1891,z,268,0.0014448529808179593
F,1892,a,68331,0.3217847892630092
F,1892,d,1775,0.00835884153520132
F,1892,e,77186,0.36348481280904166
F,1892,g,37,0.00017424064045208382
F,1892,h,11942,0.05623734400753473
F,1892,i,183,0.0008617847892630092
F,1892,k,30,0.00014127619496114905
F,1892,l,10670,0.05024723334118201
F,1892,m,153,0.0007205085943018601
F,1892,n,9590,0.04516129032258064
F,1892,o,201,0.0009465505062396986
F,1892,r,1680,0.007911466917824347
F,1892,s,4895,0.02305156581116082
F,1892,t,4471,0.021054862255709912
F,1892,u,462,0.0021756534024016953
F,1892,x,5,2.354603249352484e-05
F,1892,y,20392,0.0960301389215917
F,1892,z,347,0.001634094655050624
F,1893,a,67821,0.3185460386645875
F,1893,d,1821,0.00855299002386007
F,1893,e,76455,0.3590987656640427
F,1893,g,34,0.00015969338869370808
F,1893,h,12142,0.05702932722114716
F,1893,i,235,0.0011037631277359236
F,1893,k,20,9.39372874668871e-05
F,1893,l,10935,0.05136021192252053
F,1893,m,158,0.0007421045709884082
F,1893,n,10184,0.047832866778138916
F,1893,o,207,0.0009722509252822815
F,1893,r,2280,0.01070885077122513
F,1893,s,5066,0.023794314915362505
F,1893,t,4659,0.02188269111541135
F,1893,u,446,0.0020948015105115825
F,1893,x,6,2.818118624006613e-05
F,1893,y,20106,0.0944351550904616
F,1893,z,333,0.0015640558363236702
F,1894,a,70631,0.316840343975274
F,1894,d,1985,0.008904419911808112
F,1894,e,79938,0.35859018584892544
F,1894,g,40,0.00017943415439411817
F,1894,h,12139,0.05445378000475501
F,1894,i,242,0.0010855766340844147
F,1894,k,24,0.00010766049263647089
F,1894,l,11327,0.050811266670554404
F,1894,m,211,0.0009465151644289732
F,1894,n,11066,0.04964045881313278
F,1894,o,224,0.0010048312646070616
F,1894,r,2581,0.011577988812280475
F,1894,s,5711,0.02561871139362022
F,1894,t,4833,0.021680131704669325
F,1894,u,396,0.0017763981285017698
F,1894,w,6,2.6915123159117723e-05
F,1894,x,6,2.6915123159117723e-05
F,1894,y,21197,0.09508664426730307
F,1894,z,366,0.0016418225127061811
F,1895,a,73002,0.3124657581153267
F,1895,d,2268,0.009707574304889742
F,1895,e,83875,0.3590047596219696
F,1895,g,41,0.00017548965895082866
F,1895,h,12813,0.05484265853992604
F,1895,i,283,0.0012113066703191343
F,1895,k,38,0.000162648952198329
F,1895,l,12031,0.051495514313107796
F,1895,m,247,0.0010572181892891384
F,1895,n,12279,0.0525570127379811
F,1895,o,252,0.0010786193672099713
F,1895,r,2875,0.012305677304478839
F,1895,s,6010,0.02572421586084098
F,1895,t,5118,0.021906245719764416
F,1895,u,390,0.0016692918778249556
F,1895,x,6,2.5681413504999315e-05
F,1895,y,21682,0.0928040679358992
F,1895,z,422,0.001806259416518285
F,1896,a,73584,0.3092752307459525
F,1896,c,5,2.1015114070039172e-05
F,1896,d,2372,0.009969570114826583
F,1896,e,84355,0.3545459894756309
F,1896,g,52,0.0002185571863284074
F,1896,h,12912,0.05426943057446916
F,1896,i,323,0.0013575763689245303
