year,gender,name,counts,prop
1909,F,Mary,19256,0.055462267167063664
1909,M,John,9591,0.05848777007372716
1909,M,Harry,1925,0.011739021727862035
1910,F,Mary,22840,0.05761624152405554
1910,M,John,11451,0.058965591818659305
1910,M,Harry,1977,0.010180331414329705
1911,F,Mary,24385,0.05831221005308719
1911,M,John,13445,0.059508002266128464
1911,M,Harry,2538,0.011233269598470364
1912,F,Mary,32295,0.05788267176160835
1912,M,John,24586,0.05718658559845183
1912,M,Harry,4623,0.010753013309267177
1913,F,Mary,36631,0.0586737186397295
1913,M,John,29318,0.05720786291030709
1913,M,Harry,5458,0.010650130150912618
1914,F,Mary,45341,0.059551391165468835
1914,M,John,37942,0.0579491894566748
1914,M,Harry,6588,0.010061917140387264
1915,F,Mary,58184,0.059140659304916326
1915,M,John,47579,0.05606453566677311
1915,M,Harry,8472,0.009982949329933412
1916,F,Mary,61428,0.05882505034718731
1916,M,John,50046,0.05622249034423721
1916,M,Harry,8477,0.009523199669266251
1917,F,Mary,64270,0.059443541122129795
1917,M,John,51853,0.056026285990889366
1917,M,Harry,8856,0.009568757617405286
1918,F,Mary,67375,0.05820306932104338
1918,M,John,56562,0.05579647239868998
1918,M,Harry,9897,0.009763050941088269
1919,F,Mary,65839,0.05825692010522506
1919,M,John,53528,0.054608427742893144
1919,M,Harry,8984,0.009165336176247048
1920,F,Mary,70974,0.05923315868450878
1920,M,John,56911,0.05346426571771063
1920,M,Harry,9407,0.00883727833997828
1921,F,Mary,73980,0.060007543527369624
1921,M,John,58227,0.05286759992518436
1921,M,Harry,9734,0.008838051379458749
1922,F,Mary,72156,0.060090140206996025
1922,M,John,57276,0.05262500229699186
1922,M,Harry,9082,0.008344512027049377
1923,F,Mary,71636,0.059387899081359496
1923,M,John,57469,0.05242436101281942
1923,M,Harry,9260,0.00844715556175865
1924,F,Mary,73505,0.05885951629577017
1924,M,John,59068,0.0521493001939663
1924,M,Harry,9111,0.008043818549252166
1925,F,Mary,70594,0.057996232389130285
1925,M,John,57178,0.051244042380430864
1925,M,Harry,8615,0.007720931566466332
1926,F,Mary,67830,0.057236738847569524
1926,M,John,56108,0.05052771874212024
1926,M,Harry,8210,0.007393465653254566
1927,F,Mary,70594,0.05921287159025236
1927,M,John,55933,0.04966264420528493
1927,M,Harry,8017,0.0071182561027259275
1928,F,Mary,66867,0.05800217897428602
1928,M,John,53736,0.048537050870146044
1928,M,Harry,7601,0.0068656045046892236
1929,F,Mary,63502,0.056886957082606215
1929,M,John,52068,0.048442874381415535
1929,M,Harry,7132,0.006635449414001989
1930,F,Mary,64110,0.05696028772452935
1930,M,John,52396,0.04777766734174491
1930,M,Harry,6836,0.006233455491796477
1931,F,Mary,60303,0.056663343459561956
1931,M,John,48397,0.046598933550038225
1931,M,Harry,6041,0.005816562133516146
1932,F,Mary,59859,0.05610396183442213
1932,M,John,48580,0.04655432807672552
1932,M,Harry,5701,0.005463281687225446
1933,F,Mary,55477,0.05506276283519086
1933,M,John,46196,0.04663073837385949
1933,M,Harry,5139,0.005187361773817299
1934,F,Mary,56898,0.05450631730305907
1934,M,John,46716,0.045269108746252285
1934,M,Harry,5093,0.004935259244041932
1935,F,Mary,55055,0.05252016667557027
1935,M,John,47479,0.045624413226746
1935,M,Harry,5052,0.004854662811380206
1936,F,Mary,54356,0.05226196748674125
1936,M,John,47652,0.04596676640988095
1936,M,Harry,4928,0.004753719148574946
1937,F,Mary,55635,0.0523021992588289
1937,M,John,48724,0.04570886071199402
1937,M,Harry,4814,0.004516099980862393
1938,F,Mary,56199,0.05094305244961579
1938,M,John,50490,0.04554885969976905
1938,M,Harry,4820,0.004348296766743649
1939,F,Mary,54903,0.05007597633697375
1939,M,John,51024,0.046120137969932966
1939,M,Harry,4660,0.004212132387501718
1940,F,Mary,56203,0.049159393010117375
1940,M,John,54753,0.047255123987199096
1940,M,Harry,4673,0.004033079363545036
1941,F,Mary,58025,0.04804193412976828
1941,M,John,57499,0.04683774552569563
1941,M,Harry,5053,0.004116091204044245
1942,F,Mary,63236,0.04682330710153985
1942,M,John,66016,0.047821463445729996
1942,M,Harry,5627,0.004076153884045121
1943,F,Mary,66156,0.04742736170783237
1943,M,John,68888,0.04829500841278744
1943,M,Harry,5717,0.004007992148065059
1944,F,Mary,62476,0.047077901282291834
1944,M,John,66597,0.04888287326801132
1944,M,Harry,5471,0.004015769473839512
1945,F,Mary,59285,0.045349227682420015
1945,M,John,66158,0.04914327227131828
1945,M,Harry,5653,0.004199143235130479
1946,F,Mary,67437,0.04293832435030929
1946,M,John,79208,0.04881728647675866
1946,M,Harry,6018,0.003708999469966842
1947,F,Mary,71654,0.04043118167568159
1947,M,John,88251,0.04829280705258521
1947,M,Harry,6507,0.003560767532279203
1948,F,Mary,68582,0.04039786435949634
1948,M,John,82729,0.04718010894955836
1948,M,Harry,5944,0.0033898459741586976
1949,F,Mary,66809,0.03907857185891261
1949,M,John,81007,0.045763977709784284
1949,M,Harry,5533,0.0031258050374441274
1950,F,Mary,65444,0.03820429760402942
1950,M,John,79384,0.04435018905703891
1950,M,Harry,5356,0.0029922857577030686
1951,F,Mary,65624,0.03648743395326313
1951,M,John,81383,0.0433452477772931
1951,M,Harry,5293,0.002819094853780426
1952,F,Mary,65699,0.03542819426162367
1952,M,John,83077,0.042745350863607666
1952,M,Harry,4983,0.00256388751824641
1953,F,Mary,64325,0.03421411520409857
1953,M,John,80036,0.040652752070834
1953,M,Harry,4568,0.0023202280406263397
1954,F,Mary,67988,0.03501716659061106
1954,M,John,81104,0.03981643124910405
1954,M,Harry,4358,0.002139475332703633
1955,F,Mary,63159,0.03231452621324651
1955,M,John,80019,0.038893452383845555
1955,M,Harry,4129,0.0020069116696396893
1956,F,Mary,61752,0.030761934745961974
1956,M,John,80735,0.038207496496798256
1956,M,Harry,3922,0.0018560698737900881
1957,F,Mary,61090,0.029887724115122288
1957,M,John,78960,0.036633112603674356
1957,M,Harry,3792,0.0017592801797509264
1958,F,Mary,55832,0.027768549004784593
1958,M,John,75951,0.035825706811370116
1959,F,Mary,54469,0.026926341484876333
1959,M,John,76418,0.035824066508309084
1960,F,Mary,51477,0.02545767637194112
1960,M,John,76125,0.03569606506273129
1961,F,Mary,47651,0.023627478105993666
1961,M,John,79880,0.037650314923108615
1962,F,Mary,43488,0.022116215913829756
1962,M,John,78433,0.037917943159585264
1963,F,Mary,41553,0.021562954871552707
1963,M,John,78639,0.03871090648371626
